,year,month,region,count
0,2018,12,BRONX,7704
1,2018,12,QUEENS,7043
2,2018,12,MANHATTAN,8504
3,2018,12,BROOKLYN,10641
4,2018,12,STATEN ISLAND,1677
5,2018,4,BRONX,8481
6,2018,4,QUEENS,7784
7,2018,4,MANHATTAN,9417
8,2018,4,BROOKLYN,11742
9,2018,4,STATEN ISLAND,1773
10,2018,6,BRONX,8880
11,2018,6,QUEENS,8186
12,2018,6,MANHATTAN,9583
13,2018,6,BROOKLYN,12518
14,2018,6,STATEN ISLAND,1935
15,2018,11,BRONX,8207
16,2018,11,QUEENS,7377
17,2018,11,MANHATTAN,8755
18,2018,11,BROOKLYN,11245
19,2018,11,STATEN ISLAND,1674
20,2018,10,BRONX,9092
21,2018,10,QUEENS,8079
22,2018,10,MANHATTAN,9619
23,2018,10,BROOKLYN,11843
24,2018,10,STATEN ISLAND,1950
25,2018,9,BRONX,9378
26,2018,9,QUEENS,7987
27,2018,9,MANHATTAN,9597
28,2018,9,BROOKLYN,12220
29,2018,9,STATEN ISLAND,1884
30,2018,8,BRONX,10009
31,2018,8,QUEENS,8627
32,2018,8,MANHATTAN,10251
33,2018,8,BROOKLYN,13440
34,2018,8,STATEN ISLAND,1998
35,2018,7,BRONX,9689
36,2018,7,QUEENS,8754
37,2018,7,MANHATTAN,10308
38,2018,7,BROOKLYN,13175
39,2018,7,STATEN ISLAND,2008
40,2018,5,BRONX,9314
41,2018,5,QUEENS,8292
42,2018,5,MANHATTAN,9950
43,2018,5,BROOKLYN,12882
44,2018,5,STATEN ISLAND,2010
45,2018,3,BRONX,8177
46,2018,3,QUEENS,7468
47,2018,3,MANHATTAN,8888
48,2018,3,BROOKLYN,11223
49,2018,3,STATEN ISLAND,1910
50,2018,1,BRONX,7265
51,2018,1,QUEENS,6999
52,2018,1,MANHATTAN,8181
53,2018,1,BROOKLYN,10501
54,2018,1,STATEN ISLAND,1531
55,2018,2,BRONX,6754
56,2018,2,QUEENS,6387
57,2018,2,MANHATTAN,7527
58,2018,2,BROOKLYN,8922
59,2018,2,STATEN ISLAND,1364
60,2017,12,BRONX,7279
61,2017,12,QUEENS,7420
62,2017,12,MANHATTAN,8011
63,2017,12,BROOKLYN,10683
64,2017,12,STATEN ISLAND,1569
65,2017,4,BRONX,8578
66,2017,4,QUEENS,8008
67,2017,4,MANHATTAN,9019
68,2017,4,BROOKLYN,12148
69,2017,4,STATEN ISLAND,1934
70,2017,6,BRONX,9260
71,2017,6,QUEENS,8713
72,2017,6,MANHATTAN,10058
73,2017,6,BROOKLYN,12739
74,2017,6,STATEN ISLAND,2113
75,2017,11,BRONX,8389
76,2017,11,QUEENS,7586
77,2017,11,MANHATTAN,8827
78,2017,11,BROOKLYN,11227
79,2017,11,STATEN ISLAND,1775
80,2017,10,BRONX,9638
81,2017,10,QUEENS,8858
82,2017,10,MANHATTAN,10018
83,2017,10,BROOKLYN,13529
84,2017,10,STATEN ISLAND,1925
85,2017,9,BRONX,9410
86,2017,9,QUEENS,8576
87,2017,9,MANHATTAN,9876
88,2017,9,BROOKLYN,12877
89,2017,9,STATEN ISLAND,2023
90,2017,8,BRONX,9845
91,2017,8,QUEENS,9022
92,2017,8,MANHATTAN,10235
93,2017,8,BROOKLYN,13657
94,2017,8,STATEN ISLAND,2066
95,2017,7,BRONX,9686
96,2017,7,QUEENS,9009
97,2017,7,MANHATTAN,10277
98,2017,7,BROOKLYN,13944
99,2017,7,STATEN ISLAND,1971
100,2017,5,BRONX,9373
101,2017,5,QUEENS,9129
102,2017,5,MANHATTAN,10391
103,2017,5,BROOKLYN,13407
104,2017,5,STATEN ISLAND,2099
105,2017,3,BRONX,8801
106,2017,3,QUEENS,8306
107,2017,3,MANHATTAN,9341
108,2017,3,BROOKLYN,12223
109,2017,3,STATEN ISLAND,1907
110,2017,1,BRONX,8463
111,2017,1,QUEENS,8276
112,2017,1,MANHATTAN,8955
113,2017,1,BROOKLYN,11629
114,2017,1,STATEN ISLAND,1811
115,2017,2,BRONX,7295
116,2017,2,QUEENS,7185
117,2017,2,MANHATTAN,8088
118,2017,2,BROOKLYN,10390
119,2017,2,STATEN ISLAND,1518
